Product Link,Brand Name,Product Type,Country of Origin,Model No.,Frame Size,Frame Width,Frame Dimensions,Frame colour,Weight,Weight Group,Material,Frame Material,Temple Material,Frame Style,Frame Style Secondary,Collection,Product Warranty,Gender,Height,Condition,Temple Colour,Prescription Type,Manufacturer Details,Suited For,Glass Color
https://www.lenskart.com/john-jacobs-jj-e14491-c1-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E14491,"Wide
?",141 mm,54-17-145,Black,"15 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,Pro Titanium,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50019-c2-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50019,"Medium
?",137 mm,53-17-140,Mid Gunmetal,"20 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,OD Stainless Steel,"1 Year Manufacturer Warranty
?",Unisex,31 mm,New,Dark Gunmetal,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e14486-c4-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E14486,"Extra Wide
?",142 mm,53-19-145,Sky Blue,"17 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,Pro Titanium,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Navy Blue,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e13719-full-rim-c2-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E13719,"Medium
?",134 mm,49-19-142,Silver,"13 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,Pro Titanium,"1 Year Manufacturer Warranty
?",Unisex,42 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e15818-c1-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E15818,"Medium
?",137 mm,53-18-142,Black,"14 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,Pro Titanium,"1 Year Manufacturer Warranty
?",Unisex,41 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70057/m-c3-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70057/M,"Medium
?",134 mm,52-18-140,Gunmetal,"21 gm
?","Average
?",Stainless Steel,"Stainless Steel
?","Stainless Steel
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,33 mm,New,Light Gunmetal,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e16575-c2-eye.html,John Jacobs,Eyeglasses,,JJ E16575,"Narrow
?",131 mm,52-18-140,Gold,"22 gm
?","Average
?",,"Bio Acetate
?","Italian Acetate
?",Premium,Premium,Rich Acetate,"1 Year Manufacturer Warranty
?",Unisex,41 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e11675-c4-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E11675,"Medium
?",137 mm,50-20-145,Black,"24 gm
?",,Stainless Steel,"Stainless Steel
?","Stainless Steel
?",,,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,46 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70039-c3-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70039,"Medium
?",136 mm,54-17-145,Mid Gunmetal,"31 gm
?",,,"Stainless Steel
?","Stainless Steel
?",,,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Red,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70006-c2-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70006,"Medium
?",136 mm,52-17-140,,"21 gm
?",,,"Italian Acetate
?","Stainless Steel
?",,,Rich Acetate,"1 Year Manufacturer Warranty
?",Unisex,32 mm,New,Golden Brown,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e14414-c4-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E14414,"Wide
?",141 mm,56-16-140,Pink,"21 gm
?","Average
?",TR90,"TR90
?","TR90
?",Premium,Premium,TR Flex,"1 Year Manufacturer Warranty
?",Unisex,44 mm,New,Silver,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e13024-c2-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E13024,"Narrow
?",130 mm,49-17-140,Crystal Transparent,"21 gm
?",,Italian Acetate,"Italian Acetate
?","Italian Acetate
?",Premium,Premium,Rich Acetate,"1 Year Manufacturer Warranty
?",Women,34 mm,New,Transparent,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e16847-c2-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E16847,"Medium
?",135 mm,52-17-145,Crystal Transparent,"22 gm
?","Average
?",TR90,"TR90
?","TR90
?",Premium,Premium,TR Flex,"1 Year Manufacturer Warranty
?",Unisex,35 mm,New,White,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50044-c1-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50044,"Wide
?",140 mm,55-18-145,Silver,"24 gm
?","Average
?",Stainless Steel,"Stainless Steel
?","Japanese Acetate
?",Premium,Premium,OD Stainless Steel,"1 Year Manufacturer Warranty
?",Unisex,32 mm,New,Black Transparent,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70039-c2-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E70039,"Medium
?",136 mm,54-17-145,Gunmetal,"31 gm
?",,,"Stainless Steel
?","Stainless Steel
?",,,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Light Gunmetal,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e11724-c7-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E11724,"Medium
?",137 mm,52-18-145,Crystal Transparent,"23 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",Premium,Premium,Rich Acetate,"1 Year Manufacturer Warranty
?",Unisex,37 mm,New,Transparent,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50065-c3-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50065,"Medium
?",136 mm,51-19-140,Brown,"26 gm
?",,TR90 & Stainless Steel,"TR90
?","Stainless Steel
?",,,OD Memory Metal,"1 Year Manufacturer Warranty
?",Unisex,46 mm,New,Brown,Bifocal / Progressive,,,Brown
https://www.lenskart.com/john-jacobs-jj-e11457-c5-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E11457,"Medium
?",134 mm,50-19-145,Gold,"18 gm
?","Light
?",Stainless Steel,"Stainless Steel
?","Stainless Steel
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,45 mm,New,Transparent,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70003-c2-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70003,"Medium
?",135 mm,56-16-140,Light Brown,"17 gm
?","Light
?",Italian Acetate & Stainless Steel,"Stainless Steel
?","Italian Acetate
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Women,35 mm,New,Dark Brown,Single Vision,,,
https://www.lenskart.com/john-jacobs-jj-e16973-c2-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E16973,"Wide
?",138 mm,54-17-145,Black,"25 gm
?","Average
?",Stainless Steel,"Stainless Steel
?","Stainless Steel
?",Premium,Premium,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,36 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50064-c3-eyeglasses.html,OWNDAYS,Eyeglasses,China,OD E50064,"Extra Wide
?",144 mm,52-19-145,Gray,"32 gm
?",,TR90 & Stainless Steel,"TR90
?","Stainless Steel
?",,,OD Memory Metal,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Silver,Bifocal / Progressive,,,Blue
https://www.lenskart.com/owndays-od-e50011-c1-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50011,"Wide
?",140 mm,57-18-142,Gold,"16 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,33 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e70039-c1-eyeglasses.html,John Jacobs,Eyeglasses,,JJ E70039,"Medium
?",136 mm,54-17-145,Navy Blue,"31 gm
?",,Stainless Steel (Simple Matte & Shiny),"Stainless Steel
?","Stainless Steel
?",,,Supreme Steel,"1 Year Manufacturer Warranty
?",Unisex,40 mm,New,Navy Blue,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e12648-c1-full-rim-round-acetate-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E12648,"Wide
?",133 mm,49-19-145,Black,"23 gm
?","Average
?",Italian Acetate,"Italian Acetate
?","Italian Acetate
?",Premium,Premium,Rich Acetate,"1 Year Manufacturer Warranty
?",Unisex,45 mm,New,Black,Bifocal / Progressive,,,
https://www.lenskart.com/john-jacobs-jj-e16114-c6-eyeglasses.html,John Jacobs,Eyeglasses,China,JJ E16114,"Wide
?",139 mm,51-20-140,Gold,"30 gm
?",,Italian Acetate,"Italian Acetate
?","Italian Acetate
?",,,Rich Acetate,"1 Year Manufacturer Warranty
?",Women,40 mm,New,Gold,Bifocal / Progressive,,,
https://www.lenskart.com/owndays-od-e50037-c2-eyeglasses.html,OWNDAYS,Eyeglasses,,OD E50037,"Medium
?",134 mm,53-16-142,Gold,"18 gm
?","Light
?",Titanium,"Titanium
?","Titanium
?",Premium,Premium,OD Titanium,"1 Year Manufacturer Warranty
?",Unisex,43 mm,New,Golden Brown,Bifocal / Progressive,,,
